post_id,date,platform,topic,text,likes,retweets,sentiment
POST00530,2025-12-22 11:00,Facebook,fitness tracker,"The fitness tracker update ruined everything, please fix this asap.",6,5,Negative
POST00495,2025-02-19 14:00,YouTube,laptop brand,"The laptop brand update ruined everything, please fix this asap. 👎",0,1,Negative
POST00395,2025-12-21 07:00,Facebook,online banking app,"Really disappointed with online banking app, expected way better. 😡",32,0,Negative
POST01865,2025-03-02 11:00,Facebook,e-commerce sale,"The e-commerce sale is okay I guess, nothing special but works.",5,1,Neutral
POST01491,2025-01-10 08:00,Instagram,cloud gaming service,"Saw an ad for cloud gaming service today, might check it out later. 🤔",57,0,Neutral
POST00484,2025-07-29 21:00,Twitter,online banking app,"The online banking app update ruined everything, please fix this asap. 😞",8,3,Negative
POST01092,2025-05-03 19:00,YouTube,e-commerce sale,Why is e-commerce sale so slow today? Getting really annoyed. 😞,21,6,Negative
POST00788,2025-12-25 02:00,Twitter,electric car,"The electric car broke down after just one week, very poor quality. 😡",4,2,Negative
POST00614,2025-11-05 07:00,Instagram,new smartphone,"Absolutely loving the new smartphone, works flawlessly! #happy",11,4,Positive
POST01008,2025-10-25 17:00,Instagram,cloud gaming service,Why is cloud gaming service so slow today? Getting really annoyed. 😞,13,1,Negative
POST01234,2025-07-27 15:00,Twitter,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",23,9,Positive
POST01456,2025-06-26 00:00,Facebook,electric car,"Terrible customer support for electric car, waited hours for a reply. 😞",1,2,Negative
POST01358,2025-06-13 14:00,YouTube,e-commerce sale,"The e-commerce sale update ruined everything, please fix this asap. 😞",10,3,Negative
POST01850,2025-01-07 19:00,Instagram,airline service,"Mixed feelings about airline service, some parts great some not.",8,3,Neutral
POST01818,2025-02-20 02:00,YouTube,food delivery app,Loved the food delivery app at first but the recent update is buggy.,9,5,Negative
POST01453,2025-06-11 12:00,Facebook,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",24,6,Positive
POST02016,2025-03-04 00:00,Facebook,streaming app,"Decent streaming app, does the job but support could be faster.",55,2,Neutral
POST00125,2025-09-08 17:00,YouTube,electric car,"Huge shoutout to the team behind electric car, amazing job! ❤️",28,0,Positive
POST00651,2025-04-14 20:00,YouTube,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone!",6,7,Positive
POST01713,2025-02-24 12:00,Instagram,cloud gaming service,"Really disappointed with cloud gaming service, expected way better.",0,4,Negative
POST00433,2025-10-10 10:00,Instagram,customer support,"The customer support exceeded my expectations, five stars from me. ❤️",2,8,Positive
POST00423,2025-11-26 21:00,Facebook,new smartphone,"Can't stop recommending new smartphone to my friends, it's brilliant.",16,7,Positive
