post_id,date,month,platform,topic,text,likes,retweets,sentiment,predicted_sentiment
POST00530,2025-12-22 11:00,2025-12,Facebook,fitness tracker,"The fitness tracker update ruined everything, please fix this asap.",6,5,Negative,Negative
POST00495,2025-02-19 14:00,2025-02,YouTube,laptop brand,"The laptop brand update ruined everything, please fix this asap. 👎",0,1,Negative,Negative
POST00395,2025-12-21 07:00,2025-12,Facebook,online banking app,"Really disappointed with online banking app, expected way better. 😡",32,0,Negative,Negative
POST01865,2025-03-02 11:00,2025-03,Facebook,e-commerce sale,"The e-commerce sale is okay I guess, nothing special but works.",5,1,Neutral,Neutral
POST01491,2025-01-10 08:00,2025-01,Instagram,cloud gaming service,"Saw an ad for cloud gaming service today, might check it out later. 🤔",57,0,Neutral,Neutral
POST00484,2025-07-29 21:00,2025-07,Twitter,online banking app,"The online banking app update ruined everything, please fix this asap. 😞",8,3,Negative,Negative
POST01092,2025-05-03 19:00,2025-05,YouTube,e-commerce sale,Why is e-commerce sale so slow today? Getting really annoyed. 😞,21,6,Negative,Negative
POST00788,2025-12-25 02:00,2025-12,Twitter,electric car,"The electric car broke down after just one week, very poor quality. 😡",4,2,Negative,Negative
POST00614,2025-11-05 07:00,2025-11,Instagram,new smartphone,"Absolutely loving the new smartphone, works flawlessly! #happy",11,4,Positive,Positive
POST01008,2025-10-25 17:00,2025-10,Instagram,cloud gaming service,Why is cloud gaming service so slow today? Getting really annoyed. 😞,13,1,Negative,Negative
POST01234,2025-07-27 15:00,2025-07,Twitter,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",23,9,Positive,Positive
POST01456,2025-06-26 00:00,2025-06,Facebook,electric car,"Terrible customer support for electric car, waited hours for a reply. 😞",1,2,Negative,Negative
POST01358,2025-06-13 14:00,2025-06,YouTube,e-commerce sale,"The e-commerce sale update ruined everything, please fix this asap. 😞",10,3,Negative,Negative
POST01850,2025-01-07 19:00,2025-01,Instagram,airline service,"Mixed feelings about airline service, some parts great some not.",8,3,Neutral,Neutral
POST01818,2025-02-20 02:00,2025-02,YouTube,food delivery app,Loved the food delivery app at first but the recent update is buggy.,9,5,Negative,Negative
POST01453,2025-06-11 12:00,2025-06,Facebook,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",24,6,Positive,Positive
POST02016,2025-03-04 00:00,2025-03,Facebook,streaming app,"Decent streaming app, does the job but support could be faster.",55,2,Neutral,Neutral
POST00125,2025-09-08 17:00,2025-09,YouTube,electric car,"Huge shoutout to the team behind electric car, amazing job! ❤️",28,0,Positive,Positive
POST00651,2025-04-14 20:00,2025-04,YouTube,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone!",6,7,Positive,Positive
POST01713,2025-02-24 12:00,2025-02,Instagram,cloud gaming service,"Really disappointed with cloud gaming service, expected way better.",0,4,Negative,Negative
POST00433,2025-10-10 10:00,2025-10,Instagram,customer support,"The customer support exceeded my expectations, five stars from me. ❤️",2,8,Positive,Positive
POST00423,2025-11-26 21:00,2025-11,Facebook,new smartphone,"Can't stop recommending new smartphone to my friends, it's brilliant.",16,7,Positive,Positive
POST01872,2025-10-23 13:00,2025-10,Twitter,airline service,"Mixed feelings about airline service, some parts great some not.",20,7,Neutral,Neutral
POST00722,2025-06-18 11:00,2025-06,Instagram,cloud gaming service,The cloud gaming service is scheduled for release next week.,7,15,Neutral,Neutral
POST01668,2025-03-05 12:00,2025-03,Twitter,customer support,"Feeling let down by customer support, it just doesn't work as promised. 😞",23,1,Negative,Negative
POST01392,2025-06-15 04:00,2025-06,Twitter,laptop brand,"Really disappointed with laptop brand, expected way better. 😡",24,21,Negative,Negative
POST00589,2025-04-17 14:00,2025-04,Facebook,airline service,"The airline service exceeded my expectations, five stars from me. ❤️",9,10,Positive,Positive
POST01817,2025-01-22 18:00,2025-01,Twitter,cloud gaming service,Loved the cloud gaming service at first but the recent update is buggy.,11,0,Negative,Negative
POST01104,2025-07-09 17:00,2025-07,Twitter,online banking app,"Really disappointed with online banking app, expected way better. 😡",15,4,Negative,Negative
POST01129,2025-09-11 13:00,2025-09,Instagram,streaming app,"Can't stop recommending streaming app to my friends, it's brilliant. 🔥",52,2,Positive,Positive
POST01975,2025-09-23 23:00,2025-09,Facebook,streaming app,"The streaming app is okay I guess, nothing special but works.",42,4,Neutral,Neutral
POST01238,2025-12-14 17:00,2025-12,Instagram,new smartphone,"The new smartphone keeps crashing, so frustrating to deal with. 👎",14,3,Negative,Negative
POST00030,2025-01-30 07:00,2025-01,Instagram,online banking app,"Feeling let down by online banking app, it just doesn't work as promised. 😡",26,2,Negative,Negative
POST00545,2025-02-05 16:00,2025-02,Instagram,cloud gaming service,"Feeling let down by cloud gaming service, it just doesn't work as promised. 😡",19,10,Negative,Negative
